id-mapa,anio,mes,dia,fecha,franja,tipo,subtipo,uso_arma,uso_moto,barrio,comuna,latitud,longitud,cantidad
87901,2022,AGOSTO,MIERCOLES,2022-08-31,16.0,Robo,Robo total,NO,NO,CABALLITO,6.0,-34.60647,-58.43577,1
999566,2022,ABRIL,VIERNES,2022-04-29,2.0,Lesiones,Lesiones Dolosas,NO,NO,RECOLETA,2.0,-34.593044,-58.405367,1
58529,2022,MARZO,VIERNES,2022-03-25,9.0,Hurto,Hurto total,NO,NO,RECOLETA,2.0,-34.588182,-58.400433,1
33004,2022,DICIEMBRE,VIERNES,2022-12-30,4.0,Robo,Robo total,NO,NO,ALMAGRO,5.0,-34.608539,-58.418765,1
66950,2022,FEBRERO,VIERNES,2022-02-25,6.0,Hurto,Hurto total,NO,NO,BALVANERA,3.0,-34.600586,-58.407584,1
29443,2022,ENERO,JUEVES,2022-01-06,14.0,Robo,Robo total,NO,NO,SAAVEDRA,12.0,-34.54837,-58.493326,1
53319,2022,AGOSTO,LUNES,2022-08-29,8.0,Hurto,Hurto total,NO,NO,VILLA LUGANO,8.0,-34.68368,-58.486395,1
93786,2022,JUNIO,MARTES,2022-06-21,19.0,Robo,Robo total,NO,SI,PALERMO,14.0,-34.591676,-58.412332,1
48100,2022,ENERO,JUEVES,2022-01-20,21.0,Hurto,Hurto total,NO,NO,VILLA SOLDATI,8.0,-34.656048,-58.455839,1
1013514,2022,OCTUBRE,DOMINGO,2022-10-16,18.0,Amenazas,Amenazas,NO,NO,VILLA URQUIZA,12.0,-34.569242,-58.482578,1
93250,2022,OCTUBRE,MARTES,2022-10-04,18.0,Robo,Robo total,NO,NO,PALERMO,14.0,-34.589634,-58.416138,1
104710,2022,DICIEMBRE,SABADO,2022-12-10,14.0,Hurto,Hurto total,NO,NO,PALERMO,14.0,-34.585307,-58.420961,1
67874,2022,NOVIEMBRE,VIERNES,2022-11-18,8.0,Hurto,Hurto total,NO,NO,ALMAGRO,5.0,-34.613772,-58.417242,1
41834,2022,MARZO,LUNES,2022-03-28,22.0,Robo,Robo total,NO,NO,PALERMO,14.0,-34.585703,-58.421481,1
103621,2022,MARZO,DOMINGO,2022-03-27,16.0,Robo,Robo total,NO,NO,MONSERRAT,1.0,-34.615077,-58.377492,1
985445,2022,ABRIL,SABADO,2022-04-30,7.0,Lesiones,Lesiones Dolosas,NO,NO,SAN NICOLAS,1.0,-34.607458,-58.383365,1
14123,2022,ENERO,SABADO,2022-01-15,11.0,Robo,Robo total,NO,NO,BOCA,4.0,-34.635575,-58.358854,1
69704,2022,MAYO,VIERNES,2022-05-27,7.0,Robo,Robo total,NO,NO,BOCA,4.0,-34.62762,-58.360688,1
20731,2022,JULIO,MIERCOLES,2022-07-27,11.0,Hurto,Hurto total,NO,NO,SAN NICOLAS,1.0,-34.605432,-58.388586,1
105973,2022,JUNIO,SABADO,2022-06-04,18.0,Robo,Robo total,SI,NO,VILLA DEL PARQUE,11.0,-34.6022,-58.479736,1
21015,2022,DICIEMBRE,MIERCOLES,2022-12-07,19.0,Robo,Robo total,NO,NO,PALERMO,14.0,-34.578404,-58.431766,1
98769,2022,DICIEMBRE,MARTES,2022-12-13,20.0,Hurto,Hurto total,NO,NO,FLORES,7.0,-34.634723,-58.464805,1
39340,2022,OCTUBRE,MIERCOLES,2022-10-05,22.0,Robo,Robo total,NO,NO,BALVANERA,3.0,-34.60781,-58.411869,1
41219,2022,ENERO,LUNES,2022-01-24,10.0,Robo,Robo total,NO,NO,BARRACAS,4.0,-34.635701,-58.382332,1
80793,2022,ABRIL,VIERNES,2022-04-22,11.0,Hurto,Hurto total,NO,NO,FLORESTA,10.0,-34.636874,-58.478494,1
858468,2022,FEBRERO,JUEVES,2022-02-03,16.0,Vialidad,Lesiones por siniestros viales,NO,NO,MONSERRAT,1.0,-34.610763,-58.381052,1
52769,2022,ENERO,MARTES,2022-01-18,10.0,Robo,Robo total,NO,NO,SAAVEDRA,12.0,-34.55122,-58.492668,1
1001411,2022,SEPTIEMBRE,SABADO,2022-09-03,15.0,Amenazas,Amenazas,NO,NO,AGRONOMIA,15.0,-34.590192,-58.49565,1
81372,2022,JULIO,VIERNES,2022-07-01,14.0,Robo,Robo total,SI,NO,PARQUE PATRICIOS,4.0,-34.641705,-58.409007,1
847680,2022,MAYO,SABADO,2022-05-21,11.0,Vialidad,Lesiones por siniestros viales,NO,NO,VILLA CRESPO,15.0,-34.600604,-58.439959,1
90270,2022,OCTUBRE,MIERCOLES,2022-10-05,18.0,Robo,Robo total,SI,NO,RETIRO,1.0,-34.590113,-58.373268,1
980425,2022,JUNIO,JUEVES,2022-06-09,17.0,Lesiones,Lesiones Dolosas,NO,NO,MONSERRAT,1.0,-34.611675,-58.377511,1
52340,2022,SEPTIEMBRE,VIERNES,2022-09-23,11.0,Hurto,Hurto total,NO,NO,SAN NICOLAS,1.0,-34.604283,-58.371019,1
12518,2022,AGOSTO,SABADO,2022-08-06,23.0,Robo,Robo automotor,SI,NO,PARQUE CHACABUCO,7.0,-34.634752,-58.426328,1
79736,2022,OCTUBRE,LUNES,2022-10-24,13.0,Robo,Robo total,NO,NO,BOEDO,5.0,-34.623303,-58.424861,1
16815,2022,FEBRERO,LUNES,2022-02-28,19.0,Hurto,Hurto total,NO,NO,PALERMO,14.0,-34.569329,-58.426405,1
94128,2022,JULIO,JUEVES,2022-07-21,16.0,Hurto,Hurto total,NO,NO,SAN CRISTOBAL,3.0,-34.619345,-58.405543,1
106961,2022,MAYO,SABADO,2022-05-28,16.0,Robo,Robo total,NO,SI,VILLA DEL PARQUE,11.0,-34.603165,-58.489998,1
66156,2022,AGOSTO,LUNES,2022-08-01,10.0,Robo,Robo total,NO,NO,CONSTITUCION,1.0,-34.622932,-58.384406,1
14793,2022,DICIEMBRE,VIERNES,2022-12-02,15.0,Hurto,Hurto total,NO,NO,SAN NICOLAS,1.0,-34.608563,-58.3918,1
30239,2022,FEBRERO,MARTES,2022-02-08,0.0,Robo,Robo total,NO,NO,CONSTITUCION,1.0,-34.621469,-58.390037,1
25676,2022,JULIO,MIERCOLES,2022-07-06,7.0,Robo,Robo total,NO,NO,BELGRANO,13.0,-34.558826,-58.449745,1
82050,2022,ABRIL,SABADO,2022-04-23,9.0,Hurto,Hurto total,NO,NO,MONTE CASTRO,10.0,-34.616423,-58.506883,1
95754,2022,JULIO,VIERNES,2022-07-22,20.0,Robo,Robo total,NO,SI,PARQUE CHACABUCO,7.0,-34.628518,-58.427866,1
98734,2022,JULIO,VIERNES,2022-07-15,14.0,Robo,Robo total,NO,NO,PARQUE AVELLANEDA,9.0,-34.641301,-58.479933,1
18601,2022,SEPTIEMBRE,JUEVES,2022-09-15,22.0,Hurto,Hurto total,NO,NO,RECOLETA,2.0,-34.59540854,-58.39856898,1
71337,2022,NOVIEMBRE,VIERNES,2022-11-04,6.0,Hurto,Hurto total,NO,NO,VILLA LUGANO,8.0,-34.673989,-58.46953,1
3690,2022,NOVIEMBRE,MARTES,2022-11-01,23.0,Hurto,Hurto total,NO,NO,VILLA LUGANO,8.0,-34.673602,-58.470002,1
88377,2022,NOVIEMBRE,VIERNES,2022-11-18,17.0,Robo,Robo total,NO,NO,ALMAGRO,5.0,-34.607345,-58.413942,1
886968,2022,JULIO,LUNES,2022-07-11,13.0,Vialidad,Lesiones por siniestros viales,NO,NO,SAN NICOLAS,1.0,-34.60256,-58.38189,1
57515,2022,ABRIL,VIERNES,2022-04-08,16.0,Robo,Robo total,NO,NO,PARQUE PATRICIOS,4.0,-34.634266,-58.407885,1
